Number;Frequency
0;290827
20000;95381
40000;65092
60000;47164
80000;38512
100000;32131
120000;27702
140000;23183
160000;20227
180000;17321
200000;20088
220000;13241
240000;14529
260000;10500
280000;10381
300000;10887
320000;8913
340000;7821
360000;7194
380000;6078
400000;9716
420000;5238
440000;5589
460000;4498
480000;5325
500000;5866
520000;3744
540000;3455
560000;3207
580000;3122
600000;5504
620000;2645
640000;3076
660000;2499
680000;2398
700000;2698
720000;2354
740000;2398
760000;1805
780000;1946
800000;4131
820000;1772
840000;1761
860000;1434
880000;1679
900000;1802
920000;1378
940000;1428
960000;1380
980000;4295
